index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 19:33:26.668, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 19:33:36.669, 0 %, 32768 MiB, 32189 MiB, 312 MiB
0, 2024/05/13 19:33:46.670, 18 %, 32768 MiB, 16745 MiB, 15756 MiB
0, 2024/05/13 19:33:56.670, 100 %, 32768 MiB, 12739 MiB, 19762 MiB
0, 2024/05/13 19:34:06.671, 100 %, 32768 MiB, 10283 MiB, 22218 MiB
0, 2024/05/13 19:34:16.672, 97 %, 32768 MiB, 11659 MiB, 20842 MiB
0, 2024/05/13 19:34:26.673, 100 %, 32768 MiB, 10983 MiB, 21518 MiB
0, 2024/05/13 19:34:36.673, 100 %, 32768 MiB, 11873 MiB, 20628 MiB
0, 2024/05/13 19:34:46.674, 100 %, 32768 MiB, 11443 MiB, 21058 MiB
0, 2024/05/13 19:34:56.675, 98 %, 32768 MiB, 12743 MiB, 19758 MiB
0, 2024/05/13 19:35:06.676, 100 %, 32768 MiB, 12743 MiB, 19758 MiB
0, 2024/05/13 19:35:16.676, 100 %, 32768 MiB, 11599 MiB, 20902 MiB
0, 2024/05/13 19:35:26.677, 100 %, 32768 MiB, 10981 MiB, 21520 MiB
0, 2024/05/13 19:35:36.678, 100 %, 32768 MiB, 10981 MiB, 21520 MiB
0, 2024/05/13 19:35:46.679, 100 %, 32768 MiB, 11975 MiB, 20526 MiB
0, 2024/05/13 19:35:56.679, 100 %, 32768 MiB, 10475 MiB, 22026 MiB
0, 2024/05/13 19:36:06.680, 100 %, 32768 MiB, 12011 MiB, 20490 MiB
0, 2024/05/13 19:36:16.681, 100 %, 32768 MiB, 10243 MiB, 22258 MiB
0, 2024/05/13 19:36:26.682, 100 %, 32768 MiB, 9183 MiB, 23318 MiB
0, 2024/05/13 19:36:36.683, 100 %, 32768 MiB, 11083 MiB, 21418 MiB
