index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 18:25:23.785, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 18:25:33.786, 0 %, 32768 MiB, 32189 MiB, 312 MiB
0, 2024/05/13 18:25:43.787, 0 %, 32768 MiB, 32189 MiB, 312 MiB
0, 2024/05/13 18:25:53.788, 0 %, 32768 MiB, 32189 MiB, 312 MiB
0, 2024/05/13 18:26:03.789, 0 %, 32768 MiB, 32189 MiB, 312 MiB
0, 2024/05/13 18:26:13.790, 0 %, 32768 MiB, 32189 MiB, 312 MiB
0, 2024/05/13 18:26:23.791, 0 %, 32768 MiB, 32189 MiB, 312 MiB
0, 2024/05/13 18:26:33.791, 0 %, 32768 MiB, 32189 MiB, 312 MiB
0, 2024/05/13 18:26:43.792, 0 %, 32768 MiB, 30851 MiB, 1650 MiB
0, 2024/05/13 18:26:53.793, 2 %, 32768 MiB, 27407 MiB, 5094 MiB
0, 2024/05/13 18:27:03.794, 0 %, 32768 MiB, 25195 MiB, 7306 MiB
0, 2024/05/13 18:27:13.795, 0 %, 32768 MiB, 22591 MiB, 9910 MiB
0, 2024/05/13 18:27:23.796, 8 %, 32768 MiB, 19039 MiB, 13462 MiB
0, 2024/05/13 18:27:33.797, 100 %, 32768 MiB, 14521 MiB, 17980 MiB
0, 2024/05/13 18:27:43.797, 95 %, 32768 MiB, 11801 MiB, 20700 MiB
0, 2024/05/13 18:27:53.798, 95 %, 32768 MiB, 11777 MiB, 20724 MiB
0, 2024/05/13 18:28:03.799, 95 %, 32768 MiB, 11777 MiB, 20724 MiB
0, 2024/05/13 18:28:13.800, 100 %, 32768 MiB, 11777 MiB, 20724 MiB
0, 2024/05/13 18:28:23.801, 95 %, 32768 MiB, 11777 MiB, 20724 MiB
0, 2024/05/13 18:28:33.801, 95 %, 32768 MiB, 11777 MiB, 20724 MiB
0, 2024/05/13 18:28:43.802, 95 %, 32768 MiB, 11777 MiB, 20724 MiB
0, 2024/05/13 18:28:53.803, 100 %, 32768 MiB, 11777 MiB, 20724 MiB
0, 2024/05/13 18:29:03.804, 100 %, 32768 MiB, 11777 MiB, 20724 MiB
0, 2024/05/13 18:29:13.805, 96 %, 32768 MiB, 11775 MiB, 20726 MiB
0, 2024/05/13 18:29:23.806, 95 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:29:33.807, 94 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:29:43.808, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:29:53.840, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:30:03.841, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:30:13.841, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:30:23.842, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:30:33.843, 91 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:30:43.844, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:30:53.844, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:31:03.845, 94 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:31:13.846, 95 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:31:23.847, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:31:33.847, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:31:43.848, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:31:53.849, 95 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:32:03.850, 95 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:32:13.850, 100 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:32:23.851, 95 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:32:33.852, 95 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:32:43.853, 95 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:32:53.854, 95 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:33:03.854, 95 %, 32768 MiB, 11773 MiB, 20728 MiB
0, 2024/05/13 18:33:13.855, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:33:23.856, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:33:33.857, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:33:43.857, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:33:53.858, 95 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:34:03.859, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:34:13.860, 94 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:34:23.861, 95 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:34:33.861, 95 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:34:43.862, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:34:53.863, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:35:03.867, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:35:13.868, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:35:23.869, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:35:33.870, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:35:43.871, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:35:53.872, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:36:03.873, 95 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:36:13.874, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
0, 2024/05/13 18:36:23.874, 100 %, 32768 MiB, 11769 MiB, 20732 MiB
