index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 20:48:19.138, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 20:48:29.139, 0 %, 32768 MiB, 32189 MiB, 312 MiB
0, 2024/05/13 20:48:39.140, 19 %, 32768 MiB, 28149 MiB, 4352 MiB
0, 2024/05/13 20:48:49.140, 100 %, 32768 MiB, 23071 MiB, 9430 MiB
0, 2024/05/13 20:48:59.141, 94 %, 32768 MiB, 21553 MiB, 10948 MiB
0, 2024/05/13 20:49:09.142, 94 %, 32768 MiB, 21547 MiB, 10954 MiB
0, 2024/05/13 20:49:19.143, 100 %, 32768 MiB, 21531 MiB, 10970 MiB
0, 2024/05/13 20:49:29.143, 100 %, 32768 MiB, 21531 MiB, 10970 MiB
0, 2024/05/13 20:49:39.144, 100 %, 32768 MiB, 21531 MiB, 10970 MiB
0, 2024/05/13 20:49:49.147, 100 %, 32768 MiB, 21531 MiB, 10970 MiB
0, 2024/05/13 20:49:59.148, 100 %, 32768 MiB, 21531 MiB, 10970 MiB
0, 2024/05/13 20:50:09.149, 100 %, 32768 MiB, 21531 MiB, 10970 MiB
0, 2024/05/13 20:50:19.150, 100 %, 32768 MiB, 21531 MiB, 10970 MiB
0, 2024/05/13 20:50:29.150, 100 %, 32768 MiB, 21531 MiB, 10970 MiB
0, 2024/05/13 20:50:39.151, 95 %, 32768 MiB, 21529 MiB, 10972 MiB
0, 2024/05/13 20:50:49.152, 100 %, 32768 MiB, 21529 MiB, 10972 MiB
0, 2024/05/13 20:50:59.153, 100 %, 32768 MiB, 21529 MiB, 10972 MiB
0, 2024/05/13 20:51:09.153, 100 %, 32768 MiB, 21529 MiB, 10972 MiB
0, 2024/05/13 20:51:19.154, 100 %, 32768 MiB, 21529 MiB, 10972 MiB
0, 2024/05/13 20:51:29.155, 95 %, 32768 MiB, 21529 MiB, 10972 MiB
0, 2024/05/13 20:51:39.156, 95 %, 32768 MiB, 21529 MiB, 10972 MiB
0, 2024/05/13 20:51:49.157, 100 %, 32768 MiB, 21529 MiB, 10972 MiB
0, 2024/05/13 20:51:59.157, 90 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:52:09.163, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:52:19.164, 95 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:52:29.165, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:52:39.166, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:52:49.166, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:52:59.167, 90 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:53:09.168, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:53:19.177, 94 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:53:29.178, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:53:39.179, 95 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:53:49.180, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:53:59.180, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:54:09.181, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:54:19.182, 95 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:54:29.183, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:54:39.184, 94 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:54:49.185, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:54:59.185, 95 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:55:09.186, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:55:19.187, 90 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:55:29.188, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:55:39.189, 99 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:55:49.189, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:55:59.190, 100 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 20:56:09.191, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:56:19.192, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:56:29.192, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:56:39.193, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:56:49.194, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:56:59.195, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:57:09.195, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:57:19.196, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:57:29.197, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:57:39.198, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:57:49.199, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:57:59.200, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:58:09.201, 98 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:58:19.201, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:58:29.202, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:58:39.203, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:58:49.204, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:58:59.205, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:59:09.206, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:59:19.207, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:59:29.208, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:59:39.208, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:59:49.209, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 20:59:59.210, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:00:09.211, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:00:19.212, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:00:29.212, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:00:39.213, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:00:49.214, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:00:59.215, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:01:09.216, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:01:19.216, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:01:29.217, 90 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:01:39.218, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:01:49.219, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:01:59.219, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:02:09.220, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:02:19.221, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:02:29.222, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:02:39.222, 89 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:02:49.223, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:02:59.224, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:03:09.225, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:03:19.226, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:03:29.226, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:03:39.227, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:03:49.228, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:03:59.229, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:04:09.229, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:04:19.230, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:04:29.231, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:04:39.232, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:04:49.232, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:04:59.233, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:05:09.234, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:05:19.235, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:05:29.236, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:05:39.236, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:05:49.237, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:05:59.238, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:06:09.239, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:06:19.239, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:06:29.240, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:06:39.241, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:06:49.242, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:06:59.243, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:07:09.243, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:07:19.244, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:07:29.245, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:07:39.246, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:07:49.247, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:07:59.247, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:08:09.248, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:08:19.249, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:08:29.250, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:08:39.251, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:08:49.251, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:08:59.252, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:09:09.253, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:09:19.254, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:09:29.254, 99 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:09:39.255, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:09:49.256, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:09:59.257, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
